car_name,rating,mileage_km_per_liter,engine_cc,price_min_lakh,price_max_lakh,company,price_avg_lakh,price_segment,is_electric
MG Hector,4.4,13.79,1451.0,11.99,19.19,MG,15.59,Upper Mid-Range,0
Maruti Suzuki Brezza,4.4,21.09,1462.0,7.4,13.71,Maruti,10.555,Upper Mid-Range,0
Mahindra Scorpio N,4.6,18.35,2198.0,13.69,25.49,Mahindra,19.59,Upper Mid-Range,0
Tata Punch,4.7,19.6,1199.0,5.75,10.77,Tata,8.26,Lower Mid-Range,0
Maruti Suzuki FRONX,4.5,22.89,1197.0,6.85,11.98,Maruti,9.415,Lower Mid-Range,0
Mahindra Thar ROXX,4.6,15.2,2184.0,12.52,23.52,Mahindra,18.02,Upper Mid-Range,0
Tata Nexon,4.6,24.08,1497.0,7.4,14.52,Tata,10.96,Upper Mid-Range,0
Maruti Suzuki Swift,4.5,25.75,1197.0,5.84,8.89,Maruti,7.365,Lower Mid-Range,0
Mahindra Scorpio,4.7,14.44,2184.0,13.37,17.4,Mahindra,15.384999999999998,Upper Mid-Range,0
Tata Sierra,4.7,18.35,1498.0,11.49,21.29,Tata,16.39,Upper Mid-Range,0
Hyundai Creta,4.6,21.8,1497.0,10.91,20.06,Hyundai,15.485,Upper Mid-Range,0
Kia Seltos,4.6,18.35,1497.0,11.0,21.82,Kia,16.41,Upper Mid-Range,0
Maruti Suzuki Baleno,4.4,22.94,1197.0,5.99,9.47,Maruti,7.73,Lower Mid-Range,0
Maruti Suzuki Ertiga,4.5,20.51,1462.0,8.9,13.04,Maruti,10.969999999999999,Upper Mid-Range,0
Toyota Fortuner,4.5,12.4,2755.0,34.76,50.46,Toyota,42.61,Premium & Executive,0
Hyundai Venue,4.6,20.99,1493.0,8.0,15.83,Hyundai,11.915,Upper Mid-Range,0
Maruti Suzuki e Vitara,4.6,18.35,1493.0,16.19,20.21,Maruti,18.200000000000003,Upper Mid-Range,0
Defender,4.5,14.01,5000.0,107.0,262.0,Defender,184.5,Luxury & High-End,0
Tata Tiago,4.6,19.6,1199.0,4.77,8.62,Tata,6.694999999999999,Lower Mid-Range,0
Maruti Suzuki Grand Vitara,4.5,27.97,1490.0,10.77,19.77,Maruti,15.27,Upper Mid-Range,0
Mahindra Thar,4.5,9.0,2184.0,10.32,17.8,Mahindra,14.06,Upper Mid-Range,0
Maruti Suzuki Dzire,4.7,25.71,1197.0,6.31,9.41,Maruti,7.859999999999999,Lower Mid-Range,0
Hyundai i20,4.5,20.0,1197.0,6.0,10.63,Hyundai,8.315000000000001,Lower Mid-Range,0
MG Hector Tomahawk EV,4.0,0.0,0.0,19.5,23.5,MG,21.5,Premium & Executive,1
Toyota Innova Crysta,4.5,9.0,2393.0,19.72,26.77,Toyota,23.244999999999997,Premium & Executive,0
Toyota Urban Cruiser Hyryder,4.5,27.97,1490.0,11.31,20.31,Toyota,15.809999999999999,Upper Mid-Range,0
Kia Sonet,4.4,24.1,1493.0,7.41,14.09,Kia,10.75,Upper Mid-Range,0
Mahindra XUV 3XO,4.6,21.2,1498.0,7.79,15.04,Mahindra,11.415,Upper Mid-Range,0
Mahindra BE 6,4.8,12.4,1956.0,19.45,26.95,Mahindra,23.2,Premium & Executive,0
Mahindra XEV 9e,4.8,0.0,0.0,21.9,31.25,Mahindra,26.575,Premium & Executive,1
Porsche 911,4.5,10.64,3996.0,200.0,380.0,Porsche,290.0,Luxury & High-End,0
Mahindra Bolero,4.4,16.0,1493.0,8.49,9.99,Mahindra,9.24,Lower Mid-Range,0
Maruti Suzuki Wagon R,4.4,25.19,1197.0,4.99,7.24,Maruti,6.115,Lower Mid-Range,0
Hyundai Aura,4.4,17.0,1197.0,6.0,8.6,Hyundai,7.3,Lower Mid-Range,0
Mahindra XUV 7XO,4.7,18.35,2184.0,13.99,25.79,Mahindra,19.89,Upper Mid-Range,0
Hyundai Verna,4.6,18.35,1497.0,10.99,18.41,Hyundai,14.7,Upper Mid-Range,0
Kia Carens,4.4,18.35,1497.0,11.12,12.98,Kia,12.05,Upper Mid-Range,0
Tata Punch EV,4.8,0.0,0.0,9.79,12.99,Tata,11.39,Upper Mid-Range,1
Maruti Suzuki Alto K10,4.4,24.9,998.0,3.7,5.45,Maruti,4.575,Budget,0
