car_name,rating,price,mileage,engine
MG Hector,4.4,"Rs.11.99 - 19.19 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",13.79 kmpl,1451 cc
Maruti Suzuki Brezza,4.4,"Rs.7.40 - 13.71 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",21.09 kmpl,1462 cc
Mahindra Scorpio N,4.6,"Rs.13.69 - 25.49 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,2198 cc
Tata Punch,4.7,"Rs.5.75 - 10.77 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1199 cc
Maruti Suzuki FRONX,4.5,"Rs.6.85 - 11.98 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",22.89 kmpl,1197 cc
Mahindra Thar ROXX,4.6,"Rs.12.52 - 23.52 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",15.2 kmpl,2184 cc
Tata Nexon,4.6,"Rs.7.40 - 14.52 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",24.08 kmpl,1497 cc
Maruti Suzuki Swift,4.5,"Rs.5.84 - 8.89 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",25.75 kmpl,1197 cc
Mahindra Scorpio,4.7,"Rs.13.37 - 17.40 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",14.44 kmpl,2184 cc
Tata Sierra,4.7,"Rs.11.49 - 21.29 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1498 cc
Hyundai Creta,4.6,"Rs.10.91 - 20.06 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",21.8 kmpl,1497 cc
Kia Seltos,4.6,"Rs.11 - 21.82 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1497 cc
Maruti Suzuki Baleno,4.4,"Rs.5.99 - 9.47 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",22.94 kmpl,1197 cc
Maruti Suzuki Ertiga,4.5,"Rs.8.90 - 13.04 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20.51 kmpl,1462 cc
Toyota Fortuner,4.5,"Rs.34.76 - 50.46 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,2755 cc
Hyundai Venue,4.6,"Rs.8 - 15.83 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20.99 kmpl,1493 cc
Maruti Suzuki e Vitara,4.6,"Rs.16.19 - 20.21 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Defender,4.5,"Rs.1.07 - 2.62 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",14.01 kmpl,5000 cc
Tata Tiago,4.6,"Rs.4.77 - 8.62 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1199 cc
Maruti Suzuki Grand Vitara,4.5,"Rs.10.77 - 19.77 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",27.97 kmpl,1490 cc
Mahindra Thar,4.5,"Rs.10.32 - 17.80 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",9 kmpl,2184 cc
Maruti Suzuki Dzire,4.7,"Rs.6.31 - 9.41 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",25.71 kmpl,1197 cc
Hyundai i20,4.5,"Rs.6 - 10.63 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20 kmpl,1197 cc
MG Hector Tomahawk EV,4,"Rs.19.50 - 23.50 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Toyota Innova Crysta,4.5,"Rs.19.72 - 26.77 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",9 kmpl,2393 cc
Toyota Urban Cruiser Hyryder,4.5,"Rs.11.31 - 20.31 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",27.97 kmpl,1490 cc
Kia Sonet,4.4,"Rs.7.41 - 14.09 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",24.1 kmpl,1493 cc
Mahindra XUV 3XO,4.6,"Rs.7.79 - 15.04 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",21.2 kmpl,1498 cc
Mahindra BE 6,4.8,"Rs.19.45 - 26.95 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mahindra XEV 9e,4.8,"Rs.21.90 - 31.25 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Porsche 911,4.5,"Rs.2 - 3.80 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",10.64 kmpl,3996 cc
Mahindra Bolero,4.4,"Rs.8.49 - 9.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",16 kmpl,1493 cc
Maruti Suzuki Wagon R,4.4,"Rs.4.99 - 7.24 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",25.19 kmpl,1197 cc
Hyundai Aura,4.4,"Rs.6 - 8.60 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",17 kmpl,1197 cc
Mahindra XUV 7XO,4.7,"Rs.13.99 - 25.79 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,2184 cc
Hyundai Verna,4.6,"Rs.10.99 - 18.41 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1497 cc
